model,member,mse,mae,medae,max_error,bias,r2,corr,cent_rmse,stdev,amp_ratio,stdev_ref,range_ref,iqr_ref
ACCESS-ESM1-5,member_r10i1p1f1,196.4551874335194,9.258488631156078,6.551376065204934,256.1229357341849,-0.12344916822107699,0.7212185616282418,0.8507863452925133,14.01570361189138,21.232148889588775,0.8416594064830506,26.546044813542643,499.3369458048631,28.91448269017843
ACCESS-ESM1-5,member_r5i1p1f1,186.55351507818344,9.087727670272555,6.451313934111461,245.2288196504969,0.11259686576428152,0.729854814812521,0.8569619727949721,13.657995351588154,20.754896187230386,0.6828581934365614,26.27865313718119,497.4031926803089,29.863725255251126
ACCESS-ESM1-5,member_r2i1p1f1,183.78517439899906,8.92059625179041,6.264906312156011,257.49660877932985,-0.0677583825398429,0.7343593583861483,0.8593895204591361,13.556569743139114,20.903201060025836,0.6769330532676147,26.303163050128468,499.1968322726004,29.045864598279195
CanESM5,member_r2i1p1f1,136.13409280816583,7.81718725524976,5.567442517430088,254.35688846417128,0.07423404667484768,0.6243200091527346,0.7937265709492894,11.66741539992814,13.676362502246233,0.6314031194597253,19.0359439974928,495.53367695877733,22.133440486504185
CanESM5,member_r1i1p2f1,140.9418974196084,7.9444479980354865,5.747532221261307,273.2370083731839,-0.030800206079293346,0.6256180201384294,0.7939051970954195,11.871855321175126,14.0787090300882,0.5971263171507695,19.402718756368685,499.5058061708665,22.94863439426757
CanESM5,member_r1i1p1f1,142.11108163734332,7.9717860078539164,5.750060822059702,243.55587937884442,0.3679705221278642,0.640790775960319,0.8024993327133592,11.915354771562123,14.895944676585959,0.6066995859439948,19.8902495673369,498.66325173443533,23.766820978936096
MPI-ESM1-2-LR,member_r12i1p1f1,228.1222824123892,10.707276993811865,7.928605816218493,245.92951738057482,-0.029877010372402424,0.8355694500598427,0.9144075418973574,15.103687952835905,33.168951246055144,0.7950871338389255,37.247111535396456,494.4124681370698,39.58028899947874
MPI-ESM1-2-LR,member_r11i1p1f1,230.85582278308488,10.700788135150225,7.865098917495904,243.23626090584293,-0.28060173395089905,0.8316870380338226,0.9123885842402704,15.19134903324877,32.80448285108613,0.7926871799986163,37.034939126679035,488.185592444208,39.16261608324743
MPI-ESM1-2-LR,member_r15i1p1f1,237.09588138557922,10.918668674136162,8.07861118323189,246.3120554132256,-0.5785177311072989,0.826594148469979,0.9097315948811665,15.387046455391408,32.61119654202168,0.7909839824800359,36.97686865821881,492.0650879383834,39.8861983405409
